2019-11-14 19:59:53 127.0.0.1:INFO /login ==> ["SELECT * FROM `admin_users` WHERE `username` = 'chenlu_ling' LIMIT 1"] 
2019-11-14 19:59:53 127.0.0.1:INFO /login ==> ["SELECT * FROM `admin_menu` ORDER BY `sort` ASC,`id` ASC"] 
2019-11-14 19:59:58 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:00:16 127.0.0.1:INFO /system/menus/edit ==> ["SELECT `id`,`title` FROM `admin_menu` WHERE `p_id` = 0 ORDER BY `sort`"] 
2019-11-14 20:00:46 127.0.0.1:INFO /system/menus ==> ["INSERT INTO `admin_menu` (`p_id`, `sort`, `title`, `icon`, `uri`, `level`, `created_at`) VALUES (0, 1, 'Dashboard', 'dashboard', 'home', 50, '2019-11-14 20:00:45')"] 
2019-11-14 20:00:46 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:00:51 127.0.0.1:INFO /system/menus/delete ==> ["SELECT `id` FROM `admin_menu` WHERE `p_id` = 1 LIMIT 1","DELETE FROM `admin_menu` WHERE `id` = 1"] 
2019-11-14 20:00:52 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:01:04 127.0.0.1:INFO /login ==> ["SELECT * FROM `admin_users` WHERE `username` = 'chenlu_ling' LIMIT 1"] 
2019-11-14 20:01:04 127.0.0.1:INFO /login ==> ["SELECT * FROM `admin_menu` ORDER BY `sort` ASC,`id` ASC"] 
2019-11-14 20:01:22 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:01:55 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:02:01 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:05:54 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 20:05:56 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
